,urlLines,colors,index,Name,naptanID,Name2,Line,lat,lon,stops
0,district,green,0,Acton Town,940GZZLUACT,Acton Town Underground Station,District,51.503057,-0.280462
1,district,green,3,Aldgate East,940GZZLUADE,Aldgate East Underground Station,District,51.515037,-0.072384
2,district,green,19,Barking,940GZZLUBKG,Barking Underground Station,District,51.539413,0.080988
3,district,green,23,Barons Court,940GZZLUBSC,Barons Court Underground Station, District,51.490311,-0.213427
4,district,green,26,Bayswater,940GZZLUBWT,Bayswater Underground Station, District,51.512284,-0.187938
5,district,green,27,Becontree,940GZZLUBEC,Becontree Underground Station,District,51.540331,0.127016
6,district,green,32,Blackfriars,940GZZLUBKF,Blackfriars Underground Station, District,51.509613,-0.104166
7,district,green,39,Bow Road,940GZZLUBWR,Bow Road Underground Station,District,51.52694,-0.025128
8,district,green,43,Bromley-by-Bow,940GZZLUBBB,Bromley-by-Bow Underground Station,District,51.524839,-0.011538
9,district,green,53,Cannon Street,940GZZLUCST,Cannon Street Underground Station, District,51.511451,-0.090357
10,district,green,62,Chiswick Park,940GZZLUCWP,Chiswick Park Underground Station,District,51.494627,-0.267972
11,district,green,72,Dagenham East,940GZZLUDGE,Dagenham East Underground Station,District,51.544096,0.166017
12,district,green,73,Dagenham Heathway,940GZZLUDGY,Dagenham Heathway Underground Station,District,51.541639,0.147527
13,district,green,77,Ealing Broadway,940GZZLUEBY,Ealing Broadway Underground Station, District,51.514993,-0.302131
14,district,green,78,Ealing Common,940GZZLUECM,Ealing Common Underground Station,District,51.51014,-0.288265
15,district,green,80,Earl's Court,940GZZLUECT,Earl's Court Underground Station,District,51.492063,-0.193378
16,district,green,84,East Ham,940GZZLUEHM,East Ham Underground Station,District,51.538948,0.051186
17,district,green,86,East Putney,940GZZLUEPY,East Putney Underground Station,District,51.459205,-0.211
18,district,green,92,Edgware Road (Circle Line),940GZZLUERC,Edgware Road (Circle Line) Underground Station, District,51.519858,-0.167832
19,district,green,96,Elm Park,940GZZLUEPK,Elm Park Underground Station,District,51.549775,0.19864
20,district,green,99,Embankment,940GZZLUEMB,Embankment Underground Station, District,51.507058,-0.122666
21,district,green,115,Fulham Broadway,940GZZLUFBY,Fulham Broadway Underground Station,District,51.480081,-0.195422
22,district,green,118,Gloucester Road,940GZZLUGTR,Gloucester Road Underground Station, District,51.494316,-0.182658
